timestamp,position,velocity
1740507760.451273,167.33430000000004,20.0
1740507760.467655,167.66208000000006,20.0
1740507760.475876,167.82652000000007,20.0
1740507760.4843361,167.9957200000001,20.0
1740507760.4928288,168.16556000000006,20.0
1740507760.5093482,168.49588000000008,20.0
1740507760.51762,168.66138000000007,20.0
1740507760.52605,168.82994000000008,20.0
1740507760.542888,169.16636000000008,20.0
1740507760.551028,169.32954000000007,20.0
1740507760.559242,169.49382000000008,20.0
1740507760.575972,169.82842000000005,20.0
1740507760.584216,169.99326000000008,20.0
1740507760.5926569,170.16180000000006,20.0
1740507760.60925,170.49400000000006,20.0
1740507760.6176798,170.66250000000008,20.0
1740507760.62622,170.8332000000001,20.0
1740507760.642622,171.16138000000007,20.0
1740507760.650979,171.32848000000007,20.0
1740507760.659344,171.49588000000006,20.0
1740507760.675963,171.82826000000006,20.0
1740507760.6842382,171.99376000000007,20.0
1740507760.692626,172.16136000000006,20.0
1740507760.700989,172.32858000000007,20.0
1740507760.7175932,172.6608200000001,20.0
1740507760.725924,172.82748000000007,20.0
1740507760.734289,172.99480000000008,20.0
1740507760.750978,173.3285400000001,20.0
1740507760.7592168,173.49336000000008,20.0
1740507760.767596,173.66092000000006,20.0
1740507760.784537,173.99958000000007,20.0
1740507760.79262,174.1613200000001,20.0
1740507760.8009012,174.3270200000001,20.0
1740507760.817421,174.6573000000001,20.0
1740507760.826014,174.8292800000001,20.0
1740507760.8342679,174.99436000000009,20.0
1740507760.850979,175.3285400000001,20.0
1740507760.8592389,175.4937800000001,20.0
1740507760.867612,175.6610600000001,20.0
1740507760.8843,175.9949800000001,20.0
1740507760.892583,176.16066000000012,20.0
1740507760.9009411,176.32784000000012,20.0
1740507760.917633,176.66166000000013,20.0
1740507760.9258492,176.82600000000014,20.0
1740507760.934248,176.9939800000001,20.0
1740507760.951097,177.33080000000012,20.0
1740507760.9592571,177.49412000000012,20.0
1740507760.967592,177.66084000000012,20.0
1740507760.984271,177.9944200000001,20.0
1740507760.992568,178.1603800000001,20.0
1740507761.000885,178.3267000000001,20.0
1740507761.017548,178.65988000000007,20.0
1740507761.025981,178.8286200000001,20.0
1740507761.0343528,178.9958400000001,20.0
1740507761.0509188,179.3273400000001,20.0
1740507761.0592158,179.4933200000001,20.0
1740507761.06757,179.6604200000001,20.0
1740507761.084325,179.99544000000012,20.0
1740507761.0926201,180.16110000000012,20.0
1740507761.100986,180.32872000000012,20.0
1740507761.11785,180.66574000000008,20.0
1740507761.1259441,180.8278800000001,20.0
1740507761.1342,180.9929800000001,20.0
1740507761.142924,181.1674800000001,20.0
1740507761.159328,181.49554000000006,20.0
1740507761.167609,181.66116000000005,20.0
1740507761.184288,181.99474000000004,20.0
1740507761.192532,182.15964000000005,20.0
1740507761.200972,182.32834000000005,20.0
1740507761.209311,182.49520000000007,20.0
